date,price
2020-01-01,7195.153895430029
2020-01-02,7193.7546679601
2020-01-03,6963.853353983485
2020-01-04,7300.34693530511
2020-01-05,7351.377053166627
2020-01-06,7349.972248050628
2020-01-07,7734.675515785289
2020-01-08,8147.415237636371
2020-01-09,8045.789124592971
2020-01-10,7832.795643840387
2020-01-11,8180.513169803805
2020-01-12,8012.085781814529
2020-01-13,8171.401185320944
2020-01-14,8110.647964503772
2020-01-15,8801.871213137745
2020-01-16,8820.85010599613
2020-01-17,8720.91950137424
2020-01-18,8902.568995225329
2020-01-19,8906.902675151074
2020-01-20,8690.380569544623
2020-01-21,8631.253954333763
2020-01-22,8724.818622931474
2020-01-23,8665.436914096897
2020-01-24,8415.956027335538
2020-01-25,8432.096675789418
2020-01-26,8348.665665079325
2020-01-27,8595.728298493115
2020-01-28,8879.335548714553
2020-01-29,9320.805853868467
2020-01-30,9276.893821086494
2020-01-31,9509.80513557522
2020-02-01,9308.060285564778
2020-02-02,9363.22420680057
2020-02-03,9338.416631939404
2020-02-04,9308.91270229121
2020-02-05,9179.95928107711
2020-02-06,9592.18387389791
2020-02-07,9744.636578159389
2020-02-08,9799.448455824684
2020-02-09,9890.701658194865
2020-02-10,10148.379719131784
2020-02-11,9890.121224019967
2020-02-12,10226.925769215322
2020-02-13,10328.897565836414
2020-02-14,10221.260309201634
2020-02-15,10320.157140513991
2020-02-16,9894.136123789158
2020-02-17,9943.673602578743
2020-02-18,9723.605026422496
2020-02-19,10133.817417084678
2020-02-20,9618.409248250406
2020-02-21,9608.16918128246
2020-02-22,9673.011800270346
2020-02-23,9658.606058375472
2020-02-24,9946.716123467522
2020-02-25,9670.9608064677
2020-02-26,9345.342701734848
2020-02-27,8801.657129472504
2020-02-28,8781.175282202359
2020-02-29,8717.331431359424
2020-03-01,8552.989118581636
2020-03-02,8567.802248679225
2020-03-03,8905.876104262194
2020-03-04,8756.718576742549
2020-03-05,8758.646993191916
2020-03-06,9038.870323233425
2020-03-07,9135.84506603321
2020-03-08,8902.20195010789
2020-03-09,8041.365538071835
2020-03-10,7921.33200691072
2020-03-11,7906.731528510632
2020-03-12,7935.522040170545
2020-03-13,5142.990459018316
2020-03-14,5542.819542373153
2020-03-15,5214.189112383918
2020-03-16,5397.93335743919
2020-03-17,5032.501351487721
2020-03-18,5389.41577503409
2020-03-19,5376.280747845438
2020-03-20,6170.200600237675
2020-03-21,6195.603505257629
2020-03-22,6145.770891252399
2020-03-23,5859.647430299388
2020-03-24,6456.347485963419
2020-03-25,6730.173782371188
